"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1755221963755196781","https://twitter.com/SoftwareTyler/status/1755221963755196781","How often do you see founders raise pre-seed / seed from cold emailing a VC their pitch deck vs how often do you see founders raise pre-seed / seed from an investor they have some level of personal relationship with? @OceanPrograms https://t.co/KggeG37Ywu","2024-02-07 13:28 +0000","59.0","7.0","0.11864406779661017","0.0","0.0","0.0","2.0","0.0","0.0","4.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1755219428776538179","https://twitter.com/SoftwareTyler/status/1755219428776538179","@DD_Davis34 @github 👎","2024-02-07 13:18 +0000","18.0","4.0","0.2222222222222222","0.0","1.0","0.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1755051452152623214","https://twitter.com/SoftwareTyler/status/1755051452152623214","@DD_Davis34 @github Really nailed it February 4th https://t.co/D3fbBSuEuW","2024-02-07 02:10 +0000","45.0","15.0","0.3333333333333333","0.0","2.0","0.0","2.0","0.0","0.0","7.0","0.0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1754950355190735212","https://twitter.com/SoftwareTyler/status/1754950355190735212","@jacobbinnie @thesamparr @ShaanVP Would you like to come on our show and talk about your experience with product hunt for your tailwind animations project? We're about to re-launch and have had many notable guests, including 2 Forbes 30 under 30 guests https://t.co/p0PzcQGUKe","2024-02-06 19:29 +0000","54.0","12.0","0.2222222222222222","0.0","0.0","0.0","7.0","0.0","0.0","3.0","0.0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1754925812162150745","https://twitter.com/SoftwareTyler/status/1754925812162150745","@DD_Davis34 @X I'd love to help! The first step would be to install Google Analytics. Do you need help with that or can you figure it out? You basically just create an account, create a property, and then copy a couple lines of code in the head section of your website. The gtag section will be… https://t.co/ykiRnzEYim","2024-02-06 17:51 +0000","17.0","4.0","0.23529411764705882","0.0","1.0","0.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1754919103297359897","https://twitter.com/SoftwareTyler/status/1754919103297359897","@rywalker @X That would be awesome! Feel free to leave your product idea in the comments or reach out directly! @rywalker https://t.co/Zwq1wGnvEC","2024-02-06 17:24 +0000","23.0","4.0","0.17391304347826086","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1754649816468971934","https://twitter.com/SoftwareTyler/status/1754649816468971934","Would anyone be interested in having a portfolio of their weekly X stats? https://t.co/2HQrZzDWDr","2024-02-05 23:34 +0000","109.0","46.0","0.42201834862385323","0.0","2.0","1.0","5.0","0.0","0.0","27.0","0.0","0","0","0","0","0","11","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1754253389133758736","https://twitter.com/SoftwareTyler/status/1754253389133758736","I was wondering if you have 15 minutes to join our podcast and talk about how you scaled from your first customer to a larger audience? @chefjeffsf https://t.co/BfYg4OwOf9","2024-02-04 21:19 +0000","87.0","11.0","0.12643678160919541","0.0","0.0","0.0","6.0","0.0","0.0","1.0","0.0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1754217509337624809","https://twitter.com/SoftwareTyler/status/1754217509337624809","@SloydAi I was wondering if Avi would be interested in coming on our Startups podcast that is about to re-launch?? https://t.co/wnm7HAbgY2","2024-02-04 18:57 +0000","26.0","3.0","0.11538461538461539","0.0","0.0","0.0","2.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1754215881800871997","https://twitter.com/SoftwareTyler/status/1754215881800871997","@Brand_Crowd I was wondering if Alec would be interested in coming on our Startups podcast that is about to re-launch?? https://t.co/KyvSNWIY06","2024-02-04 18:50 +0000","30.0","3.0","0.1","0.0","0.0","0.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1753834758826553843","https://twitter.com/SoftwareTyler/status/1753834758826553843","I just wanted to let you know we're relaunching our podcast and are going to get twice as many views as you get this summer @jbelevate @startup_bp","2024-02-03 17:36 +0000","86.0","20.0","0.23255813953488372","0.0","1.0","1.0","5.0","0.0","0.0","13.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1753831604030452091","https://twitter.com/SoftwareTyler/status/1753831604030452091","@JayKothari001 @uofcincyEship your demo better be better than darren's","2024-02-03 17:23 +0000","18.0","1.0","0.05555555555555555","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1753182429265715387","https://twitter.com/SoftwareTyler/status/1753182429265715387","New @tembo_io job titles. Congrats on the promotion darren! https://t.co/TuJtObh6Uo","2024-02-01 22:23 +0000","108.0","21.0","0.19444444444444445","0.0","1.0","0.0","1.0","0.0","0.0","8.0","0.0","0","0","0","0","0","11","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1753173875997675585","https://twitter.com/SoftwareTyler/status/1753173875997675585","@github Why not just make these images PDFs, it's less work for me after all https://t.co/0Eyv1cfXvr","2024-02-01 21:49 +0000","61.0","3.0","0.04918032786885246","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1753129756067795311","https://twitter.com/SoftwareTyler/status/1753129756067795311","@DD_Davis34 @github @jacobbinnie Starting to pick up some momentum again
https://t.co/0A3V43XwuQ https://t.co/i6X78fceHi","2024-02-01 18:54 +0000","41.0","19.0","0.4634146341463415","0.0","1.0","1.0","0.0","3.0","0.0","14.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1753060650895425674","https://twitter.com/SoftwareTyler/status/1753060650895425674","@uofcincyEship #HelpVictoriaGetAJobInVC
https://t.co/hJjHiBdRB0 https://t.co/UJldeO6nh7","2024-02-01 14:20 +0000","49.0","19.0","0.3877551020408163","0.0","0.0","0.0","3.0","2.0","0.0","9.0","0.0","0","0","0","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1752752090600914949","https://twitter.com/SoftwareTyler/status/1752752090600914949","@uofcincyEship The way they calculate engagement on this site is broken https://t.co/S0y4ZjvaJi","2024-01-31 17:53 +0000","45.0","14.0","0.3111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","9.0","0.0","0","0","0","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1752732810526220318","https://twitter.com/SoftwareTyler/status/1752732810526220318","@uofcincyEship My friend Victoria Littlejohn is looking for a full-time VC job if anyone is hiring https://t.co/NBSdc20Xwf","2024-01-31 16:37 +0000","107.0","47.0","0.4392523364485981","0.0","2.0","0.0","3.0","0.0","0.0","26.0","0.0","0","0","0","0","0","16","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1752724416167838052","https://twitter.com/SoftwareTyler/status/1752724416167838052","2 active forks this month https://t.co/WxNNLeNMmW","2024-01-31 16:03 +0000","57.0","4.0","0.07017543859649122","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1752695878345703842","https://twitter.com/SoftwareTyler/status/1752695878345703842","@DD_Davis34 @github What a solid upgrade to your website https://t.co/BTVXX3QaDD https://t.co/3P2dnQ6E0M","2024-01-31 14:10 +0000","34.0","18.0","0.5294117647058824","0.0","1.0","0.0","2.0","8.0","0.0","4.0","0.0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1751628112092110874","https://twitter.com/SoftwareTyler/status/1751628112092110874","@uofcincyEship @JayKothari001 When is this going to demo, I want to see it
https://t.co/J0Ek5xHpP9 https://t.co/NOHU9LKtIC","2024-01-28 15:27 +0000","86.0","21.0","0.2441860465116279","0.0","1.0","0.0","1.0","4.0","0.0","5.0","0.0","0","0","0","0","0","10","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1751338293889818670","https://twitter.com/SoftwareTyler/status/1751338293889818670","Thinking of getting this started again if anyone is interested
https://t.co/nA2IwvXkez
@DD_Davis34 https://t.co/UQ9tEwrTw2","2024-01-27 20:16 +0000","85.0","18.0","0.21176470588235294","0.0","1.0","0.0","1.0","5.0","0.0","4.0","0.0","0","0","0","0","0","7","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
